old.sample.ID,Sample_Type,Sample_detail,rep.ID,moss.lichen,experiment.type,plate,Sample_or_Control,E1,E2,E3,E4
NOR1_T_3,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr3_li3,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR1_T_4,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr3_li4,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR1_T_5,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr3_li5,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR2_SUB_1,Substrate,Substrate - 2020,L1_20_Tr2_sub1,lichen,tard.vs.sub,2,Sample,F,F,T,F
NOR2_SUB_2,Substrate,Substrate - 2020,L1_20_Tr2_sub2,lichen,tard.vs.sub,2,Sample,F,F,T,F
NOR2_SUB_3,Substrate,Substrate - 2020,L1_20_Tr2_sub3,lichen,tard.vs.sub,2,Sample,F,F,T,F
NOR2_SUB_4,Substrate,Substrate - 2020,L1_20_Tr2_sub4,lichen,tard.vs.sub,2,Sample,F,F,T,F
NOR2_SUB_5,Substrate,Substrate - 2020,L1_20_Tr2_sub5,lichen,tard.vs.sub,2,Sample,F,F,T,F
NOR2_T_1,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr2_li1,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR2_T_2,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr2_li2,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR2_T_3,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr2_li3,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR2_T_4,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr2_li4,lichen,tard.vs.sub,2,Sample,F,F,T,T
NOR2_T_5,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr2_li5,lichen,tard.vs.sub,2,Sample,F,F,T,T
SO1_SUB_1,Substrate,Substrate - 2020,L1_20_Tr4_sub1,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_SUB_2,Substrate,Substrate - 2020,L1_20_Tr4_sub2,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_SUB_3,Substrate,Substrate - 2020,L1_20_Tr4_sub3,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_SUB_4,Substrate,Substrate - 2020,L1_20_Tr4_sub4,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_T_1,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr4_li1,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_T_2,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr4_li2,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_T_3,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr4_li3,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_T_4,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr4_li4,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO1_T_5,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr4_li5,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_1,Substrate,Substrate - 2020,L1_20_Tr1_sub1,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_2,Substrate,Substrate - 2020,L1_20_Tr1_sub2,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_3,Substrate,Substrate - 2020,L1_20_Tr1_sub3,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_4,Substrate,Substrate - 2020,L1_20_Tr1_sub4,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_5,Substrate,Substrate - 2020,L1_20_Tr1_sub5,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_SUB_6,Substrate,Substrate - 2020,L1_20_Tr1_sub6,lichen,tard.vs.sub,2,Sample,F,F,T,F
SO2_T_1,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr1_li1,lichen,tard.vs.sub,2,Sample,F,F,T,T
SO2_T_2,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr1_li2,lichen,tard.vs.sub,2,Sample,F,F,T,T
SO2_T_3,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr1_li3,lichen,tard.vs.sub,2,Sample,F,F,T,T
SO2_T_4,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr1_li4,lichen,tard.vs.sub,2,Sample,F,F,T,T
SO2_T_5,Tardigrade,Tardigrade - lichen - 2020,L1_20_Tr1_li5,lichen,tard.vs.sub,2,Sample,F,F,T,T
C42_S1,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C42_S2,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C42_S3,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C43_S1,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C43_S3,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr2_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C44_S1,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr3_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C44_S2,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr3_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C44_S3,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr3_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C45_S2,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr4_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C45_S3,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr4_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C46_S1,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr5_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C46_S2,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr5_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C46_S3,Tardigrade,Tardigrade - lichen - 2019,L6_19_Tr5_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C21_S1,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C21_S2,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C21_S3,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C23_S1,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C23_S2,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr2_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C23_S3,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr2_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C24_S1,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr3_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C24_S2,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr3_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C24_S3,Tardigrade,Tardigrade - lichen - 2019,L3_19_Tr3_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C26_S1,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr1_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C26_S2,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr1_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C26_S3,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr1_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
C27_S1,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr2_li1,lichen,tard.vs.tard,1,Sample,T,F,F,F
C27_S2,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr2_li2,lichen,tard.vs.tard,1,Sample,T,F,F,F
C27_S3,Tardigrade,Tardigrade - lichen - 2019,L4_19_Tr2_li3,lichen,tard.vs.tard,1,Sample,T,F,F,F
